,Id,Score,Title,Body,Text
21,5313,11,cross platform language gui markup language,learn swing back day move python want make apps gui time gui api use jython would prefer use cpython would one simple markup allow switch gui library would even use language across language quickly make language use anyone know markup library see markup like glade wxwidget markup forget name partly look make gui without cod language intertwine neither really look editting,cross platform language gui markup language learn swing back day move python want make apps gui time gui api use jython would prefer use cpython would one simple markup allow switch gui library would even use language across language quickly make language use anyone know markup library see markup like glade wxwidget markup forget name partly look make gui without cod language intertwine neither really look editting
22,5415,21,convert bytes float point number python,file parse use way take byte convert precision float point number,convert bytes float point number python file parse use way take byte convert precision float point number
23,5419,72,python window console,try print string window console get charmap codec encode character error windows console character way around way make python automatically instead fail situation edit use note lassev karlsen checkmark sort outdated please use solution answer suggestion care answer relevant today jan,python window console try print string window console get charmap codec encode character error windows console character way around way make python automatically instead fail situation edit use note lassev karlsen checkmark sort outdated please use solution answer suggestion care answer relevant today jan
24,5909,28,get size file download python,download directory web server work figure get size download compare update server do download file ftp server import import http www someurl com download page locally html read temp htm write html close txt zip file fnames findall txt zip html multiline fname fnames fname fname want check filesize download file read fname write file jon thank answer work filesize server slightly download file example size server size anything lf conversion,get size file download python download directory web server work figure get size download compare update server do download file ftp server import import http www someurl com download page locally html read temp htm write html close txt zip file fnames findall txt zip html multiline fname fnames fname fname want check filesize download file read fname write file jon thank answer work filesize server slightly download file example size server size anything lf conversion
25,5966,10,way abstract season show episode data,basically write api thetvdb com python code find grab data api request store data somehow make print tvdbinstance episodename get episode season way abstract data within class originally use extend dict automatically create dicts could something without store data self data show id season number number attribute name something work way check suppose exist could raise season find exception currently use four class showcontainer show season episode one dict easily add functionality search function show example setitem getitem work mostly check show season self data dict raise season find check season episode problem present functionality override getitem setitem function easy accidently recursively getitem extend class problem slight problem add data dict lot work ddict method self data sea ep something see setdata since currently read api user api ever retrieve data add hardly think series class system probably way anyone idea store data would extend etc class dict problem,way abstract season show episode data basically write api thetvdb com python code find grab data api request store data somehow make print tvdbinstance episodename get episode season way abstract data within class originally use extend dict automatically create dicts could something without store data self data show id season number number attribute name something work way check suppose exist could raise season find exception currently use four class showcontainer show season episode one dict easily add functionality search function show example setitem getitem work mostly check show season self data dict raise season find check season episode problem present functionality override getitem setitem function easy accidently recursively getitem extend class problem slight problem add data dict lot work ddict method self data sea ep something see setdata since currently read api user api ever retrieve data add hardly think series class system probably way anyone idea store data would extend etc class dict problem
26,8154,10,pylon error server go away,hope ask newsgroup nobody know use pylon python framework serve application seem time time error log mysql server go away bit checking connection mysql renew problem though pool recycle config file automatically keep default dial back problem help bite accord docs error still happen semi regularly want though database maybe something config goofy look exactly detail python pylon sql mysql,pylon error server go away hope ask newsgroup nobody know use pylon python framework serve application seem time time error log mysql server go away bit checking connection mysql renew problem though pool recycle config file automatically keep default dial back problem help bite accord docs error still happen semi regularly want though database maybe something config goofy look exactly detail python pylon sql mysql
27,8692,164,use xpath python,implementation library use website,use xpath python implementation library use website
28,8948,81,access mp meta data python,way retrieve mp metadata python see couple framework unsure would best use idea,access mp meta data python way retrieve mp metadata python see couple framework unsure would best use idea
29,10123,8,treat integer array bytes python,try decode result python o wait function return accord python doc tuple contain exit status indication bit number whose byte signal number kill process whose byte exit status number zero bit byte set core file produce exit status indication integer obtain byte decode function use follow code snippet status os wait exitstatus signum decode status,treat integer array bytes python try decode result python o wait function return accord python doc tuple contain exit status indication bit number whose byte signal number kill process whose byte exit status number zero bit byte set core file produce exit status indication integer obtain byte decode function use follow code snippet status os wait exitstatus signum decode status
30,11060,18,unit test code generator,end question thought would throw floor see anyone suggestion develop code generator take interface code generate via swig generates code need webservices develop code use found test brittle test essentially want verify give bit code happen header would get give bit code write engine read definition xml input file generate test case expectation problem dread go code fact unit test brittle try think approach problem strike perhaps tackling way maybe focus ie code generate actually run want rather look way want anyone get experience something would care share,unit test code generator end question thought would throw floor see anyone suggestion develop code generator take interface code generate via swig generates code need webservices develop code use found test brittle test essentially want verify give bit code happen header would get give bit code write engine read definition xml input file generate test case expectation problem dread go code fact unit test brittle try think approach problem strike perhaps tackling way maybe focus ie code generate actually run want rather look way want anyone get experience something would care share
31,12591,6,use catalog python lxml,way parse xml document use validate document dtd use catalog file need work fix attribute define document dtd,use catalog python lxml way parse xml document use validate document dtd use catalog file need work fix attribute define document dtd
32,12592,28,check exception thrown doctest python,unit test check exception raise example function foo suppose raise exception would write doctest,check exception thrown doctest python unit test check exception raise example function foo suppose raise exception would write doctest
33,13396,5,replacement array iteration,love list comprehension python concisely transformation list however languages frequently find write something along line foreach int intarray condition process example impression linq help program construct replace slightly solution perhaps data structure consider,replacement array iteration love list comprehension python concisely transformation list however languages frequently find write something along line foreach int intarray condition process example impression linq help program construct replace slightly solution perhaps data structure consider
34,13454,9,version php stripslashes,write piece code convert php striplashes python backslash escape clean stringwithslashes clean replace cleaned replace cleaned replace condense,version php stripslashes write piece code convert php striplashes python backslash escape clean stringwithslashes clean replace cleaned replace cleaned replace condense
35,13791,10,python expression implement string unescaping,try implement string python regex backreferences seem work well something figure import mystring test compile sub mystring test sub mystring test sub mystring test would like replace char backreferences python appear rule every implementation ever use could someone would light,python expression implement string unescaping try implement string python regex backreferences seem work well something figure import mystring test compile sub mystring test sub mystring test sub mystring test would like replace char backreferences python appear rule every implementation ever use could someone would light
36,13857,56,explain closure relate python,reading lot closure think understand without cloud picture others hop someone explain closure succinctly clearly look explanation might help understand would want use,explain closure relate python reading lot closure think understand without cloud picture others hop someone explain closure succinctly clearly look explanation might help understand would want use
37,13941,34,python sound bell,would like program alert complete task make noise currently use import o use command line speech program say process much rather bell know function use cocoa nsbeep think anything also try print work use mac could tell comment may help thanks,python sound bell would like program alert complete task make noise currently use import o use command line speech program say process much rather bell know function use cocoa nsbeep think anything also try print work use mac could tell comment may help thanks
38,14281,3,python module regex match zip file,million file compress zip file also list model name phone want number time model mentioned file python module regex match file without unzip way solve problem without unzip,python module regex match zip file million file compress zip file also list model name phone want number time model mentioned file python module regex match file without unzip way solve problem without unzip
39,14389,21,regex unicode,script par filenames tv episode show example grab episode name thetvdb com api automatically renames something nicer show script work try use file show names something never really think since file english mostly pretty fall within za allow expression match accent character likes currently regex section look like config filename char abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz config filename char regex escape config filename char name parse foo compile s ee config filename char regex foo config filename char regex foo compile ss ee config filename char regex foo config filename char regex foo config filename char regex,regex unicode script par filenames tv episode show example grab episode name thetvdb com api automatically renames something nicer show script work try use file show names something never really think since file english mostly pretty fall within za allow expression match accent character likes currently regex section look like config filename char abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz config filename char regex escape config filename char name parse foo compile s ee config filename char regex foo config filename char regex foo compile ss ee config filename char regex foo config filename char regex foo config filename char regex
40,15798,27,validate xml dtd file python,need validate xml string file description file do python,validate xml dtd file python need validate xml string file description file do python
41,16067,18,prototyping python code compile,mull write library know python fairly well plan implement everything python begin envisage may implement core routine compile language eventually iirc one python remit prototyping language however pretty allow function functors object pass function method whereas say fortran know design function class envisage interface compile language problem libraries ctypes bgen swig boost python cython python sip use case fit imagine allow user function etc python function pass interpreted code fit pass return array also,prototyping python code compile mull write library know python fairly well plan implement everything python begin envisage may implement core routine compile language eventually iirc one python remit prototyping language however pretty allow function functors object pass function method whereas say fortran know design function class envisage interface compile language problem libraries ctypes bgen swig boost python cython python sip use case fit imagine allow user function etc python function pass interpreted code fit pass return array also
42,16861,46,sanitise user input use python,way sanitise user input python base application function remove html character character combination prevent injection attack,sanitise user input use python way sanitise user input python base application function remove html character character combination prevent injection attack
43,17250,24,create encrypt zip file python,create zip file zipfile python work ok far import os test txt loczip path splitext locfile zip zip zipfile zipfile loczip zip write locfile zip close could find files zip file could use system call pkzip suppose must pythonic way look source solution,create encrypt zip file python create zip file zipfile python work ok far import os test txt loczip path splitext locfile zip zip zipfile zipfile loczip zip write locfile zip close could find files zip file could use system call pkzip suppose must pythonic way look source solution
44,17893,36,way distribute python command line tool,setup py script work okay installs tvnamer tool tvnamer py site package somewhere make setup py install py tvnamer way instal command line application,way distribute python command line tool setup py script work okay installs tvnamer tool tvnamer py site package somewhere make setup py install py tvnamer way instal command line application
45,19030,2,check set file conform name scheme,bunch file tv episode although fairly want check match name organisation scheme currently three array regex one filenames one file miss episode name one path loop though filename regex match append dict miss ep name regexs match append dict error code miss epsiode name match neither get invalid malformed error code code find add rule check presence folder jpg file directory add would make code substantially state could write system way rule need check would file format show name episode name avi show name avi show name xextra name avi filename format show display miss episode name section output path format show name season file avi season correct season number filename show name season folder contain folder jpg idea try check tv episode concept code apply thing think list dicts format checker name file type file function check run check file status return status file get,check set file conform name scheme bunch file tv episode although fairly want check match name organisation scheme currently three array regex one filenames one file miss episode name one path loop though filename regex match append dict miss ep name regexs match append dict error code miss epsiode name match neither get invalid malformed error code code find add rule check presence folder jpg file directory add would make code substantially state could write system way rule need check would file format show name episode name avi show name avi show name xextra name avi filename format show display miss episode name section output path format show name season file avi season correct season number filename show name season folder contain folder jpg idea try check tv episode concept code apply thing think list dicts format checker name file type file function check run check file status return status file get
46,19151,321,build python iterator,would one create function iterator object python,build python iterator would one create function iterator object python
47,19339,241,function python inverse zip,list item tuples would like convert list first contain item list hold item example would want result would builtin function,function python inverse zip list item tuples would like convert list first contain item list hold item example would want result would builtin function
48,19654,5,introduce python,company use work two developer work fulltime freelancer process hire lead developer try bring order management development currently one developer see django company develop php date developer concern introducing language python idea right approach introduce technology obviously one developer actually know redundancy dev away leaf company bother python look solution time team actually one pythonion without team leader decision fall,introduce python company use work two developer work fulltime freelancer process hire lead developer try bring order management development currently one developer see django company develop php date developer concern introducing language python idea right approach introduce technology obviously one developer actually know redundancy dev away leaf company bother python look solution time team actually one pythonion without team leader decision fall
49,20063,84,way grab parse command line argument pass python script,terse method parse python command line argument,way grab parse command line argument pass python script terse method parse python command line argument
50,20794,13,find symlinks python,call o stat symlink python throw exception make find however reason os stat might throw exception way detect symlinks python linux,find symlinks python call o stat symlink python throw exception make find however reason os stat might throw exception way detect symlinks python linux
51,20927,6,auto datetimefield parent model django,get two model message attachment attached message use model model auto datetimefield call try make attachment save also set update field associate message code def save self attachment self save self message update self updated work explain would accomplish,auto datetimefield parent model django get two model message attachment attached message use model model auto datetimefield call try make attachment save also set update field associate message code def save self attachment self save self message update self updated work explain would accomplish
52,21454,65,specify mysql enum django model,go specify use django model,specify mysql enum django model go specify use django model
53,21934,35,java python garbage collection method,python use reference count method handle life time use immediately destroy java gc garbage collector destroy object use time java choose strategy benefit python approach,java python garbage collection method python use reference count method handle life time use immediately destroy java gc garbage collector destroy object use time java choose strategy benefit python approach
54,21961,3,python date time conversion seem,import time time time second day time return number second since epoch since give time midnight epoch midnight result evenly number second day,python date time conversion seem import time time time second day time return number second since epoch since give time midnight epoch midnight result evenly number second day
55,22059,4,discovery engine like zemanta calais work,wonder service like calais figure company people tech concept keywords etc piece text database match text would service like zemanta know image suggest piece text instance,discovery engine like zemanta calais work wonder service like calais figure company people tech concept keywords etc piece text database match text would service like zemanta know image suggest piece text instance
56,22149,25,vs confusion python django,stumble passage django django model default method call convert result bytestring mean return string return string character encode afaik representation unicode string ucs googling turn boldly state two byte encode cover world write system plain confused time character set encode issue quite documentation reading confuse anybody know go give string,vs confusion python django stumble passage django django model default method call convert result bytestring mean return string return string character encode afaik representation unicode string ucs googling turn boldly state two byte encode cover world write system plain confused time character set encode issue quite documentation reading confuse anybody know go give string
57,22617,68,number string python,need find number string code return str hour str minute str second hour minute integer second float function convert number place instead string output pm would display something like line function need,number string python need find number string code return str hour str minute str second hour minute integer second float function convert number place instead string output pm would display something like line function need
58,22676,492,download file http use python,utility use download mp schedule build update podcast file obviously add itunes text process creates update xml file write python use wget inside window bat download mp however would prefer utility write though though way actually load python thus resort download file use python,download file http use python utility use download mp schedule build update podcast file obviously add itunes text process creates update xml file write python use wget inside window bat download mp however would prefer utility write though though way actually load python thus resort download file use python
59,23397,20,way duplicate fork window,implement logic allow reproduce window functionality linux fork system call use python specifically try execute method sapi com component continue thread without block wait,way duplicate fork window implement logic allow reproduce window functionality linux fork system call use python specifically try execute method sapi com component continue thread without block wait
60,23907,34,graph line code history git repo,basically want get number line code commit really way find use filter branch run wc run git reset commit run wc bit tool run would output line code commit want tool output example something gitsloc branch master play around close find use line method diff seem like give add line return line example require rubygems require git work dir user dbr code project tvdb api log cur diff diff cur diff line put end,graph line code history git repo basically want get number line code commit really way find use filter branch run wc run git reset commit run wc bit tool run would output line code commit want tool output example something gitsloc branch master play around close find use line method diff seem like give add line return line example require rubygems require git work dir user dbr code project tvdb api log cur diff diff cur diff line put end
61,24193,3,python code generator studio,idea add py file project tag file custom generator would execute python file treat output result code generation ie put file would allow quite code generation part build process anyone know custom generator studio exists,python code generator studio idea add py file project tag file custom generator would execute python file treat output result code generation ie put file would allow quite code generation part build process anyone know custom generator studio exists
62,24931,7,capture python interpreter cmd exe output python script,capture python interpreter output python script capture windows cmd output python script librar y look,capture python interpreter cmd exe output python script capture python interpreter output python script capture windows cmd output python script librar y look
63,25116,41,buffer python,python use stringio file like buffer character data memory map file basically thing data require file use basis python file object intend data memory java bytearrayoutputstream use case want create zip file memory zipfile require file like object,buffer python python use stringio file like buffer character data memory map file basically thing data require file use basis python file object intend data memory java bytearrayoutputstream use case want create zip file memory zipfile require file like object
64,25661,7,pygame within application,way use pygame sdl within application search method allow draw area gtk window time manage gtk sdl event,pygame within application way use pygame sdl within application search method allow draw area gtk window time manage gtk sdl event
65,25807,30,python class reflection,python code class pas class pas class pas class way super classed something like pseudocode magicgetsuperclasses type type one solution seem module function def magicgetsuperclasses return cls type type way achieve goal,python class reflection python code class pas class pas class pas class way super classed something like pseudocode magicgetsuperclasses type type one solution seem module function def magicgetsuperclasses return cls type type way achieve goal
66,26595,193,difference foo none foo none,difference foo none pas foo none pas convention see code code write recently come across code us latter none instance instance iirc matter circumstance might,difference foo none foo none difference foo none pas foo none pas convention see code code write recently come across code us latter none instance instance iirc matter circumstance might
67,26706,5,wxpython examine drag data ondragover,bit drag drop wxpython perhaps question pertains drag drop gui framework well framework provide callback onenter ondragover purportedly allow inform system whether mouse position place drop whatever method return dragnone wx dragcopy etc baffle within method allow getdata mean allow data user drag can not see data suppose know whether drop,wxpython examine drag data ondragover bit drag drop wxpython perhaps question pertains drag drop gui framework well framework provide callback onenter ondragover purportedly allow inform system whether mouse position place drop whatever method return dragnone wx dragcopy etc baffle within method allow getdata mean allow data user drag can not see data suppose know whether drop
68,27567,9,learn pypy translation function,time try pypy translation look like something absolutely simply read description however hard press find documentation actually translate world piece code something thing exist pypy documentation skim functionality rather provide anything try,learn pypy translation function time try pypy translation look like something absolutely simply read description however hard press find documentation actually translate world piece code something thing exist pypy documentation skim functionality rather provide anything try
69,28165,10,type python string substitution,python way handle string substitution use dictionary site site site adj rock stackoverflow site rock rock love specify value replace place string try achieve something php use string replace function everything come feel awkward anybody way kind string substitution php edit code page like php function sprintf str var char array foreach var tmp char return replace key tmp array value tmp sprintf site site array site adj rock,type python string substitution python way handle string substitution use dictionary site site site adj rock stackoverflow site rock rock love specify value replace place string try achieve something php use string replace function everything come feel awkward anybody way kind string substitution php edit code page like php function sprintf str var char array foreach var tmp char return replace key tmp array value tmp sprintf site site array site adj rock
70,28369,3,eval really,look function spreadsheet like calculation use functionality rexec module remove python since apparently security problem party hack purport think solution find python recipe eval reasonably use something protect code stick write parser anyone know alternative edit discover part zope opinion welcome,eval really look function spreadsheet like calculation use functionality rexec module remove python since apparently security problem party hack purport think solution find python recipe eval reasonably use something protect code stick write parser anyone know alternative edit discover part zope opinion welcome
71,28559,9,way end,python idiom construct end ability recode update answer seem end,way end python idiom construct end ability recode update answer seem end
72,28668,8,way extract data filemaker database script,job would easier could come way preferably script information filemaker database work machine filemaker database lan run machine log interface machine quite sql somebody could point plug could give access data within filemaker would please punch everything find go way filemaker get data sql source choice would use instead python solution hand note xml xslt service suggest folk server otherwise would probably best solution odbc turn extremely even get work absolutely zero fm set dig var log system obscure error message conclusion get work run script locally machine query database odbc connection script actually tcpserver accepts connection system lan run query return data socket connection bypass fact accepts connection locally fm server require connection,way extract data filemaker database script job would easier could come way preferably script information filemaker database work machine filemaker database lan run machine log interface machine quite sql somebody could point plug could give access data within filemaker would please punch everything find go way filemaker get data sql source choice would use instead python solution hand note xml xslt service suggest folk server otherwise would probably best solution odbc turn extremely even get work absolutely zero fm set dig var log system obscure error message conclusion get work run script locally machine query database odbc connection script actually tcpserver accepts connection system lan run query return data socket connection bypass fact accepts connection locally fm server require connection
73,28796,52,refactoring tool use python,bunch class want rename name name reused class name want name change life python code also xml code reference class name search replace get far case rename adminaction adminactionplug adminactionlogger adminactionloggerplug first one search replace would also hit wrongly anyone experience python refactoring tool bonus point class name xml document,refactoring tool use python bunch class want rename name name reused class name want name change life python code also xml code reference class name search replace get far case rename adminaction adminactionplug adminactionlogger adminactionloggerplug first one search replace would also hit wrongly anyone experience python refactoring tool bonus point class name xml document
74,28961,7,way use web service python,medium size application run web service control want create api script want best solution use web service python edit consume soap w control,way use web service python medium size application run web service control want create api script want best solution use web service python edit consume soap w control
75,29243,14,create document python,sample code xml dom minidom import def make doc document node doc createelement foo node bar doc return doc name make writexml sys stdout run code get version foo would like get version foo bar foo guess property give error seem work go create text node,create document python sample code xml dom minidom import def make doc document node doc createelement foo node bar doc return doc name make writexml sys stdout run code get version foo would like get version foo bar foo guess property give error seem work go create text node
76,29562,23,python distutils anyone know use,write program python add cli program wondering create installer use distutils since gui frontend command line app work anyway cross platform goal create package user understand make configure file primarily web thanks help edit anyone know project use distutils could see action know actually try build link python package guide guide know miss wave gooling even walk package exist application motu project package maintain project anyone join tutorial info create package type include package guide python distutils ar technica discussion accord conversation use distutils follow package format something like guess need dh make see package bdist deb command distutils one interesting discussion also find guide concatenate zip file script create kind anything let know anyone find practice never hear description deb format distutils python mail list,python distutils anyone know use write program python add cli program wondering create installer use distutils since gui frontend command line app work anyway cross platform goal create package user understand make configure file primarily web thanks help edit anyone know project use distutils could see action know actually try build link python package guide guide know miss wave gooling even walk package exist application motu project package maintain project anyone join tutorial info create package type include package guide python distutils ar technica discussion accord conversation use distutils follow package format something like guess need dh make see package bdist deb command distutils one interesting discussion also find guide concatenate zip file script create kind anything let know anyone find practice never hear description deb format distutils python mail list
77,29856,2,python match directory layout o,default python install os bit client want setup apache mysql run django past run apache mysql match install bit mode even strip bit apache make work want python bit completely compile source one caveat match way default install lay especially regard site package library python one bury framework compile,python match directory layout o default python install os bit client want setup apache mysql run django past run apache mysql match install bit mode even strip bit apache make work want python bit completely compile source one caveat match way default install lay especially regard site package library python one bury framework compile
78,31340,71,thread work python thread pitfall,try wrap head around thread work python find information operate may miss link something seem like documentation thorough find write tell one thread run thread switch every instruction explanation provide one would also problem run use thread python,thread work python thread pitfall try wrap head around thread work python find information operate may miss link something seem like documentation thorough find write tell one thread run thread switch every instruction explanation provide one would also problem run use thread python
79,32044,44,render tree structure use django template,structure memory would like render html use class node name node child object root node child list node root pass template find one discussion might achieve poster suggests might good production environment anybody know way,render tree structure use django template structure memory would like render html use class node name node child object root node child list node root pass template find one discussion might achieve poster suggests might good production environment anybody know way
80,32385,6,programmatically edit python source,something think would useful basically would like way edit python source programmatically without require intervention couple thing would like edit configuration python apps use source module configuration set customize python source file way set project system source app work file customize could probably write something see lot devil detail type issue way currently go bullet implement,programmatically edit python source something think would useful basically would like way edit python source programmatically without require intervention couple thing would like edit configuration python apps use source module configuration set customize python source file way set project system source app work file customize could probably write something see lot devil detail type issue way currently go bullet implement
81,32404,165,run python service window,sketch architecture set program share object store database want one program service provide level interface operation object program access object service currently aim python django framework technology service pretty figure demonize program linux however spec item system support windows experience window program experience window service run program window service run automatically without login necessarily part need idea would do order decide whether design along line thanks answer far quite would like know one thing windows service manage windows utility basically put start stop script etc init,run python service window sketch architecture set program share object store database want one program service provide level interface operation object program access object service currently aim python django framework technology service pretty figure demonize program linux however spec item system support windows experience window program experience window service run program window service run automatically without login necessarily part need idea would do order decide whether design along line thanks answer far quite would like know one thing windows service manage windows utility basically put start stop script etc init
82,32899,111,generate unit test python,kind test data want unit test item first idea like import bar lee class testsequence testcase def testsample self name test name self name downside handle data one test would like generate one test item fly suggestion,generate unit test python kind test data want unit test item first idea like import bar lee class testsequence testcase def testsample self name test name self name downside handle data one test would like generate one test item fly suggestion
83,33475,1,hang command invoke directly exit cleanly run,need launch machine retrieve port number server process lsitening invoke server port output port number stderr want automate process log machine launch process retrieve port number write script call invokejob py live machine act wrapper invokes job return port number look like import subprocess name regex regex port number output bufsize line buffer subprocess pipe stderr readline port match regex group print port log interactively work ssh example com login thu localhost invokejob exit logout connection remotehost example com close note logout hang however try invoke command line hang ssh example com invokejob py anybody know hang case note need retrieve output program use flag standard output,hang command invoke directly exit cleanly run need launch machine retrieve port number server process lsitening invoke server port output port number stderr want automate process log machine launch process retrieve port number write script call invokejob py live machine act wrapper invokes job return port number look like import subprocess name regex regex port number output bufsize line buffer subprocess pipe stderr readline port match regex group print port log interactively work ssh example com login thu localhost invokejob exit logout connection remotehost example com close note logout hang however try invoke command line hang ssh example com invokejob py anybody know hang case note need retrieve output program use flag standard output
